model_name,scenario_id,scenario_code,test_variant_id,test_code,task_directive_policy_code,pool_membership,run_count,parse_valid_count,parse_valid_rate,modal_displayed_option_id,modal_canonical_option_id,modal_tied,modal_support_count,modal_support_rate,borda_correct,maximin_correct,utilitarian_correct,maximin_ordinal_correct,rule_correct,veto_violation,conflict_level,conflict_score,conflict_kendall_tau_avg,displayed_option_order,displayed_stakeholder_order
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,10,10,1.0,4,4,0,10,1.0,0,1,1,1,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,2,format_invariance_adj,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,3,maximin,maximin,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,4,0,5,1.0,0,1,1,1,1,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,4,utilitarian,utilitarian,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,5,format_invariance_sent,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,4,0,5,1.0,0,1,1,1,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,7,paraphrasing_synonym,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,4,0,5,1.0,0,1,1,1,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,8,emphasis_pos,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,4,0,5,1.0,0,1,1,1,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,9,emphasis_neg,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,4,0,5,1.0,0,1,1,1,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,10,stakeholder_roles,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,11,permulation_options_1,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,3|1|4|2,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,12,permulation_options_2,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,4|2|1|3,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,13,permulation_options_3,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,1,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,2|4|3|1,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,14,permulation_stakeholders_1,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,3|1|4|2
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,15,permulation_stakeholders_2,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,4|2|1|3
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,16,permulation_stakeholders_3,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,2|4|3|1
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,17,exaggeration,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,2,2,0,5,1.0,0,0,0,0,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
claude-sonnet-4-5-20250929,1,r1a1_r2a5_r3a9_r4a13,23,paraphrasing_adj,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,5,5,1.0,4,4,0,5,1.0,0,1,1,1,0,,medium,0.6111111111111112,0.6111111111111112,1|2|3|4,1|2|3|4
